movie_id;movie_title
tt0039041;Tomorrow Is Forever (1946)
tt0039192;Black Narcissus (1947)
tt0039204;Body and Soul (1947)
tt0039208;Boomerang! (1947)
tt0039224;Brute Force (1947)
tt0039302;Dark Passage (1947)
tt0039305;Dead Reckoning (1947)
tt0039420;The Ghost and Mrs. Muir (1947)
tt0039536;Kiss of Death (1947)
tt0039545;Lady in the Lake (1947)
tt0039628;Miracle on 34th Street (1947)
tt0039631;Monsieur Verdoux (1947)
tt0039689;Out of the Past (1947)
tt0039768;Ride the Pink Horse (1947)
tt0040068;Bud Abbott Lou Costello Meet Frankenstein (1948)
tt0040160;The Big Clock (1948)
tt0040202;Call Northside 777 (1948)
tt0040338;The Fallen Idol (1948)
tt0040366;Force of Evil (1948)
tt0040367;A Foreign Affair (1948)
tt0040506;Key Largo (1948)
tt0040522;Ladri di biciclette (1948)
tt0040525;The Lady from Shanghai (1947)
tt0040607;Moonrise (1948)
tt0040613;Mr. Blandings Builds His Dream House (1948)
tt0040636;The Naked City (1948)
tt0040705;Portrait of Jennie (1948)
tt0040724;Red River (1948)
tt0040725;The Red Shoes (1948)
tt0040746;Rope (1948)
tt0040766;Secret Beyond the Door... (1947)
tt0040806;The Snake Pit (1948)
tt0040897;The Treasure of the Sierra Madre (1948)
tt0040919;Unfaithfully Yours (1948)
tt0041085;Abbott and Costello Meet the Killer, Boris Karloff (1949)
tt0041090;Adam's Rib (1949)
tt0041098;Africa Screams (1949)
tt0041154;Banshun (1949)
tt0041163;Battleground (1949)
tt0041259;A Connecticut Yankee in King Arthur's Court (1949)
tt0041268;Criss Cross (1949)
tt0041386;The Fountainhead (1949)
tt0041498;I Was a Male War Bride (1949)
tt0041546;Kind Hearts and Coronets (1949)
tt0041673;My Friend Irma (1949)
tt0041699;Nora inu (1949)
tt0041855;The Secret Garden (1949)
tt0041954;Tension (1949)
tt0041959;The Third Man (1949)
tt0041996;Twelve O'Clock High (1949)
tt0042040;Whisky Galore! (1949)
tt0042041;White Heat (1949)
tt0042179;Abbott and Costello in the Foreign Legion (1950)
tt0042192;All About Eve (1950)
tt0042208;The Asphalt Jungle (1950)
tt0042276;Born Yesterday (1950)
tt0042286;Broken Arrow (1950)
tt0042296;Caged (1950)
tt0042393;Destination Moon (1950)
tt0042436;Les enfants terribles (1950)
tt0042451;Father of the Bride (1950)
tt0042530;Deadly Is the Female (1950)
tt0042546;Harvey (1950)
tt0042593;In a Lonely Place (1950)
tt0042619;Journal d'un curé de campagne (1951)
tt0042788;Night and the City (1950)
tt0042804;Los olvidados (1950)
tt0042832;Panic in the Streets (1950)
tt0042876;Rashômon (1950)
tt0042897;Rocketship X-M (1950)
tt0042980;So Long at the Fair (1950)
tt0042994;Stage Fright (1950)
tt0043014;Sunset Blvd. (1950)
tt0043132;Where the Sidewalk Ends (1950)
tt0043265;The African Queen (1951)
tt0043274;Alice in Wonderland (1951)
tt0043278;An American in Paris (1951)
tt0043306;Awaara (1951)
tt0043313;Bakushû (1951)
tt0043338;Ace in the Hole (1951)
tt0043362;The Browning Version (1951)
tt0043456;The Day the Earth Stood Still (1951)
tt0043465;Detective Story (1951)
tt0043686;Jeux interdits (1952)
