ID,# pos actors,# neg actors,# actors,# pos genres,# neg_genres,# genres,# pos movies,# neg movies,# movies,# pos keywords,# neg keywords,# keywords
1lgnyz,0,0,0,0,0,0,2,1,3,3,1,4
1llv27,0,0,0,0,0,0,1,1,2,1,1,2
1lmu86,0,0,0,0,0,0,1,1,2,4,1,5
1lpbvk,0,0,0,0,0,0,6,1,7,1,1,2
1lvna4,0,0,0,0,0,0,6,1,7,2,1,3
1lzzfo,0,0,0,0,0,0,4,1,5,2,1,3
1m46oj,0,0,0,0,0,0,3,1,4,1,1,2
1m59uh,0,0,0,0,0,0,5,1,6,6,1,7
1m7ku7,0,0,0,0,0,0,1,1,2,3,1,4
1mcm9r,0,0,0,0,0,0,1,1,2,6,1,7
1muw8n,0,0,0,0,0,0,3,1,4,1,1,2
1n3f8z,0,0,0,0,0,0,3,1,4,4,1,5
1n87wl,0,0,0,0,0,0,10,1,11,1,1,2
1ncc1o,0,0,0,0,0,0,4,1,5,4,1,5
1ncmr7,0,0,0,0,0,0,3,1,4,2,1,3
1ne71q,0,0,0,0,0,0,9,1,10,2,1,3
1nr15b,0,0,0,1,0,1,3,1,4,1,1,2
1o2xay,0,0,0,2,0,2,1,1,2,5,1,6
1o4iee,0,0,0,0,0,0,5,1,6,4,1,5
1odp2k,0,0,0,0,0,0,1,1,2,1,1,2
1oh74t,0,0,0,1,0,1,6,1,7,1,1,2
1ohj06,0,0,0,0,0,0,2,1,3,6,1,7
1os3gx,0,0,0,1,0,1,3,1,4,4,1,5
1ot95p,0,0,0,1,0,1,1,1,2,1,5,6
1oudcf,0,0,0,0,0,0,2,1,3,1,1,2
1p21sn,1,0,1,0,0,0,1,1,2,6,1,7
1p3k6e,1,0,1,0,0,0,1,1,2,3,1,4
1p3yfw,0,0,0,0,0,0,6,1,7,2,1,3
1paggx,0,0,0,0,0,0,11,1,12,2,1,3
1pakg8,0,0,0,0,0,0,2,1,3,1,1,2
1paxt8,0,0,0,0,0,0,2,1,3,5,1,6
1pcdes,0,0,0,0,0,0,1,1,2,3,1,4
1pdij4,0,0,0,0,0,0,1,1,2,1,1,2
1pplad,0,0,0,0,0,0,1,1,2,3,1,4
1pq980,0,0,0,3,0,3,3,1,4,2,1,3
1prebf,0,0,0,2,0,2,2,1,3,1,1,2
1prp8o,0,0,0,0,0,0,4,1,5,9,1,10
1prxqm,0,0,0,0,0,0,2,1,3,4,1,5
1psm9k,0,0,0,1,0,1,2,1,3,1,1,2
1psnvs,0,0,0,0,0,0,2,1,3,1,1,2
1pst71,0,0,0,0,0,0,8,1,9,5,3,8
1psyru,0,0,0,1,0,1,2,1,3,1,1,2
1pusm1,0,0,0,0,0,0,3,1,4,1,1,2
1pws98,0,0,0,1,0,1,5,1,6,2,1,3
1q5df6,0,0,0,0,0,0,1,1,2,7,1,8
1q9uk3,0,0,0,0,0,0,1,1,2,1,1,2
1qajlt,0,0,0,1,0,1,1,1,2,1,1,2
1qamd8,0,0,0,0,0,0,1,1,2,4,1,5
1qanap,1,0,1,0,0,0,4,1,5,2,1,3
1qar3q,0,0,0,0,0,0,2,1,3,4,1,5
1qqzdx,0,0,0,1,0,1,3,1,4,5,1,6
1quuzo,0,0,0,0,0,0,3,1,4,3,1,4
