id,original_title,alternative
3656567,"Paura nella città dei morti viventi (1980)","The Gates of Hell (1983)"
3796873,"Sin City: A Dame to Kill For (2014)","Sin City 2: A Dame to Kill For (2013)"
4019528,"Tillsammans (2000)","Together (2000)"
3678518,"Poltergeist III (1988)","Poltergeist III: The Final Chapter (1988)"
3893346,"The Brothers Grimm (2005)","Die Brüder Grimm (2005)"
2915812,"Anonymous (2011/I)","Anonymus (2011)"
3146650,"Drowning by Numbers (1988)","Giochi nell'acqua (1988)"
2875945,"About a Boy (2002)","Pour un garçon (2002)"
3999744,"The Veil (2016/I)","Der Kult - Die Toten kommen wieder (2016)"
4045419,"Turbo: A Power Rangers Movie (1997)","Turbo Power Rangers - Il film (1997)"
3919166,"The Forger (2014)","Der Auftrag - Für einen letzten Coup ist es nie zu spät! (2014)"
3205481,"Ferris Bueller's Day Off (1986)","Una pazza giornata di vacanza (1986)"
4071760,"Uçurtmayi Vurmasinlar (1989)","Don't Let Them Shoot the Kite (1989)"
3030076,"Chances Are (1989)","Uno strano caso (1989)"
2898397,"Altar (2014)","The Haunting of Radcliffe House (2014)"
3808481,"Snow White: A Tale of Terror (1997)","The Grimm Brothers' Snow White (1997)"
3082885,"Dances with Wolves (1990)","Der mit dem Wolf tanzt (1991)"
3273875,"Habemus Papam (2011)","We Have a Pope (2011)"
3058674,"Concussion (2015)","Zona d'ombra - Una scomoda verità (2015)"
3338985,"Ils se marièrent et eurent beaucoup d'enfants (2004)","...And They Lived Happily Ever After (2004)"
3577144,"Mýrin (2006)","Der Tote aus Nordermoor (2007)"
3249652,"Giallo (2009)","Giallo/Argento (2009)"
2929977,"Asterix in America (1994)","Asterix erobert Amerika (1994)"
3937413,"The Kentucky Fried Movie (1977)","Household Odors (1977)"
3871608,"Tenkû no shiro Rapyuta (1986)","Das Schloss im Himmel (1986)"
3905364,"The Day the Earth Stood Still (1951)","Der Tag, an dem die Erde stillstand (1952)"
3079169,"Da uomo a uomo (1967)","As Man to Man (1969)"
3950992,"The Man Who Knew Too Much (1934)","Der Mann, der zuviel wußte (1934)"
3356893,"Io sto con gli ippopotami (1979)","Das Krokodil und sein Nilpferd (1979)"
3505994,"Madagascar 3: Europe's Most Wanted (2012)","Madagascar 3 (2012)"
3234049,"Fuk sau (2009)","Vendicami (2010)"
3945289,"The Little Prince (2015/I)","Il piccolo principe (2015)"
2893395,"All About Eve (1950)","Best Performance (1950)"
3400201,"Kicking & Screaming (2005)","Kicking and Screaming (2005)"
2898542,"Altered (2006)","Vergeltung - Sie werden Dich finden (2007)"
3322048,"Häxan (1922)","The Witches (1929)"
3455891,"Le gendarme à New York (1965)","Der Gendarm vom Broadway (1965)"
4003140,"The Wedding Date (2005)","The Wedding Date - L'amore ha il suo prezzo (2005)"
4137457,"Your Highness (2011)","Your Highness - Schwerter, Joints und scharfe Bräute (2011)"
3537574,"Metoroporisu (2001)","Metropolis (2002)"
3964375,"The Paper (1994)","Schlagzeilen (1994)"
3522213,"Martha Marcy May Marlene (2011)","La fuga di Martha (2011)"
3989056,"The Story of Us (1999)","An deiner Seite (2000)"
3217756,"Flyboys (2006)","Flyboys - Helden der Lüfte (2007)"
3018346,"Cannonball Run II (1984)","Cannonball Run 2 (1984)"
2983465,"Blood and Wine (1996)","Blood & Wine (1996)"
3826812,"St Trinian's 2: The Legend of Fritton's Gold (2009)","St Trinian's II (2009)"
3960219,"The Night of the Generals (1967)","Die Nacht der Generale (1991)"
3020027,"Car Wash (1976)","Car Wash - Stazione di servizio (1976)"
3281263,"Hard Times (1975)","Ein stahlharter Mann (1975)"
3282590,"Harry Potter and the Deathly Hallows: Part 1 (2010)","The Deathly Hallows (2010)"
4043419,"Tsotsi (2005)","Thug (2005)"
3356079,"Invasion of the Body Snatchers (1956)","Die Invasion der Körperfresser (1957)"
2995321,"Brainstorm (1983)","Brainstorm - Generazione elettronica (1984)"
3051392,"Code inconnu: Récit incomplet de divers voyages (2000)","Storie (2001)"
3598832,"No Escape (1994)","Flucht aus Absolom (1994)"
3474919,"Life During Wartime (2009)","Untitled Todd Solondz Project (2009)"
3145770,"Drive Angry (2011)","Drive Angry 3D (2011)"
3664676,"Phantasm IV: Oblivion (1998)","Phantasm IV (1998)"
2879607,"Adaptation. (2002)","Il ladro di orchidee - Adaptation. (2003)"
3275097,"Hairspray (1988)","White Lipstick (1987)"
3221508,"Force 10 from Navarone (1978)","Force 10 - Die Spezialeinheit (1979)"
3985189,"The Slumber Party Massacre (1982)","Don't Open the Door (1982)"
3678198,"Politist, adjectiv (2009)","Police, Adjective (2012)"
3117158,"Diana (2013)","Diana - La storia segreta di Lady D (2013)"
3017972,"Candyman (1992)","Clive Barker's Candyman (1992)"
3733138,"Road Trip (2000)","Heißer Trip nach Texas (2000)"
3525531,"Matilda (1996)","Roald Dahl's Matilda (1996)"
4136639,"Young Guns II (1990)","Hell Bent for Leather (1990)"
3806797,"Smokey and the Bandit (1977)","Il bandito e la madama (1977)"
3058674,"Concussion (2015)","Sérülés (2015)"
4022078,"Titanic - La leggenda continua (2000)","Titanic: The Animated Movie (2001)"
2888083,"Akeelah and the Bee (2006)","Akeelah ist die Größte (2007)"
3319385,"Hung Hei Kwun: Siu Lam ng zou (1994)","Master of Shaolin (2008)"
3431111,"La délicatesse (2011)","Nathalie küsst (2012)"
3407109,"Klopka (2007)","A csapda (2007)"
3370814,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles (1975)","Jeanne Dielman (2010)"
3350517,"Innocence (2004/I)","Ghost in the Shell 2 - Innocence (2006)"
3164904,"El espíritu de la colmena (1973)","Der Geist des Bienenstocks (1977)"
3247331,"Get Rich or Die Tryin' (2005)","Untitled 50 Cent Project (2005)"
2947985,"Band Baaja Baaraat (2010)","Wedding Planners (2010)"
4123442,"Wonderful Days (2003)","Sky Blue (2004)"
3377561,"John Rabe (2009)","La bei ri ji (2009)"
3194667,"Faces (1968/I)","Gesichter (1978)"
3731614,"Rise of the Planet of the Apes (2011)","L'alba del pianeta delle scimmie (2011)"
3672124,"Planes, Trains & Automobiles (1987)","Ein Ticket für zwei (1988)"
4103239,"Welkkeom tu Dongmakgol (2005)","Welcome to Dongmakgol (2005)"
3598820,"No End in Sight (2007)","No End in Sight: Iraq's Descent Into Chaos (2007)"
3009331,"Butterfly on a Wheel (2007)","Shattered - Lucida vendetta (2009)"
3215423,"Flesh for Frankenstein (1973)","De la chair pour Frankenstein (1974)"
3519692,"Maria Larssons eviga ögonblick (2008)","Everlasting Moments (2008)"
3089273,"Das Testament des Dr. Mabuse (1933)","The Testament of Dr. Mabuse (1933)"
3149751,"Durak (2014/II)","The Fool (2014)"
3942084,"The Last of Sheila (1973)","Un rebus per l'assassino (1973)"
3000596,"Broken Arrow (1950)","Blood Brothers (1950)"
4132174,"Yellow Submarine (1968)","The Beatles' Yellow Submarine (1968)"
3286315,"Head in the Clouds (2004)","La tête dans les nuages (2004)"
3970073,"The Prince of Tides (1991)","Herr der Gezeiten (1992)"
3789397,"Shooter (2007/I)","Shooter (2007)"
3400221,"Kicking and Screaming (1995)","Scalciando e urlando (1996)"
3234051,"Fuk sing go jiu (1985)","Lucky Stars Superior Shine (1985)"
2869362,"A Walk to Remember (2002)","Nur mit Dir - A Walk to Remember (2002)"
3177290,"Enemy at the Gates (2001)","Stalingrad (2001)"
3482455,"Live and Let Die (1973)","Agente 007 - Vivi e lascia morire (1973)"
4035279,"Transformers (2007)","Transformers: The Movie 2 (2005)"
3780988,"Shadows (1959)","Ombre (1959)"
3670547,"Pirates of the Caribbean: At World's End (2007)","Pirates of the Caribbean - Am Ende der Welt (2007)"
3082708,"Dance of the Vampires (1967)","The Fearless Vampire Killers (1967)"
3874212,"Texas Chainsaw 3D (2013)","Texas Chainsaw Massacre 5 (2013)"
3837296,"Stranger Than Paradise (1984)","Stranger Than Paradise - Più strano del paradiso (1984)"
3012434,"Ca$h (2010)","Cash Game - Paga o muori (2010)"
3597142,"Ningen no jôken (1959/I)","Ningen no jôken: Dai 2 bu - Gekido hen (1959)"
3878421,"The Accused (1988)","Angeklagt (1989)"
